ProductID,Name,Category,SubCategory,Price,Tags
8095,Pioneer® Southern Style Biscuit Dough,Biscuits,Biscuit Dough,31.2,"Frozen, Southern Style"
8094,Pioneer® Southern Style Biscuit Dough,Biscuits,Biscuit Dough,36.6,"Frozen, Southern Style"
210101,Pioneer® Simple Split Biscuit Dough,Biscuits,Biscuit Dough,34.8,Simple Split
215136,Pioneer® Butter Flavor Biscuit Dough,Biscuits,Biscuit Dough,31.2,Butter Flavor
215144,Pioneer® Simple Split Buttermilk Country Biscuit Dough,Biscuits,Biscuit Dough,31.5,"Buttermilk, Country Style"
216208,Pioneer® Corn Drop Biscuit Dough,Biscuits,Biscuit Dough,28.5,Corn Drop
7055,Pioneer® Buttermilk Drop Biscuit Dough,Biscuits,Biscuit Dough,31.5,Buttermilk Drop
3078,Conestoga™ Simple Split Whole Grain Biscuit Dough,Biscuits,Biscuit Dough,31.2,Whole Grain
3079,Conestoga™ Southern Style Biscuit Dough,Biscuits,Biscuit Dough,31.2,Southern Style
240301,Conestoga™ Southern Style Simple Split Biscuit Dough,Biscuits,Biscuit Dough,31.2,Simple Split
3074,Conestoga™ Southern Style Biscuit Dough,Biscuits,Biscuit Dough,31.9,Southern Style
3076,Conestoga™ Simple Split Homestyle Biscuit Dough,Biscuits,Biscuit Dough,36.6,Homestyle
3080,Conestoga™ Simple Split Southern Style Biscuit Dough,Biscuits,Biscuit Dough,34.8,Southern Style
224005,Conestoga™ Reduced Sodium Simple Split Biscuit Dough,Biscuits,Biscuit Dough,34.75,Reduced Sodium
240114,Pioneer® Simple Split Waffle Biscuit,Biscuits,Pre-Baked Biscuits,18.4,"Waffle, Pre-Baked"
3051,Conestoga™ Buttermilk Biscuit,Biscuits,Pre-Baked Biscuits,25.2,Buttermilk
215812,Conestoga™ Classic Whole Grain Simple Split Biscuit,Biscuits,Pre-Baked Biscuits,21.75,Whole Grain
3046,Conestoga™ Buttermilk Biscuit,Biscuits,Pre-Baked Biscuits,17.3,Buttermilk
3047,Conestoga™ Simple Split Buttermilk Biscuit,Biscuits,Pre-Baked Biscuits,21.8,Simple Split
3049,Conestoga™ Simple Split Buttermilk Biscuit,Biscuits,Pre-Baked Biscuits,18.4,Simple Split
219413,Conestoga™ Reduced Sodium Classic Simple Split Biscuit,Biscuits,Pre-Baked Biscuits,21.75,Reduced Sodium
233180,Conestoga™ Simple Split Buttermilk Biscuit Bundle Pack,Biscuits,Pre-Baked Biscuits,18.4,Bundle Pack
237864,Conestoga™ Buttermilk Biscuit Bundle Pack,Biscuits,Pre-Baked Biscuits,21.5,Bundle Pack
94013,Pioneer® Original Biscuit Mix,Biscuits,Biscuit Mix,31.5,Mix
94048,Pioneer® Original Biscuit Mix,Biscuits,Biscuit Mix,25.5,Mix
218407,Pioneer® Golden Flake Biscuit Mix,Biscuits,Biscuit Mix,21,Golden Flake
99400,Conestoga™ Biscuit Mix,Biscuits,Biscuit Mix,31.5,Mix
99402,Conestoga™ Biscuit Mix,Biscuits,Biscuit Mix,25.5,Mix
9100,Pioneer® Sausage Gravy,Gravies,Frozen Gravy,25.5,Sausage
233363,Pioneer® Peppered Gravy,Gravies,Frozen Gravy,25.5,Peppered
94445,Pioneer® Instant Peppered Old Fashioned Biscuit Gravy Mix,Gravies,Instant Gravy Mix,9.9,"Peppered, Biscuit"
94485,Pioneer® Instant Country Style Gravy Mix,Gravies,Instant Gravy Mix,10,Country Style
